,CVE ID,REFER TO COMMIT,REFER TO ISSUE,REFER TO RELEASE,REFER TO ADVISORY,REFER TO PULL,REFER TO HUNTR
51,CVE-2022-0991,1,0,0,0,0,1
52,CVE-2022-0415,1,0,0,0,0,1
53,CVE-2022-0930,1,0,0,0,0,1
54,CVE-2022-0929,1,0,0,0,0,1
55,CVE-2022-0928,1,0,0,0,0,1
56,CVE-2022-0926,1,0,0,0,0,1
57,CVE-2022-0921,1,0,0,0,0,1
58,CVE-2022-0913,1,0,0,0,0,1
59,CVE-2022-0912,1,0,0,0,0,1
60,CVE-2022-0911,1,0,0,0,0,1
61,CVE-2022-24755,0,0,0,1,1,1
62,CVE-2022-1000,1,0,0,0,0,1
63,CVE-2022-0906,1,0,0,0,0,1
64,CVE-2022-0905,1,0,0,0,0,1
65,CVE-2022-0896,1,0,0,0,0,1
66,CVE-2022-0895,1,0,0,0,0,1
67,CVE-2022-0894,1,0,0,0,0,1
68,CVE-2022-0893,1,0,0,0,0,1
69,CVE-2022-0955,1,0,0,0,0,1
70,CVE-2022-0890,1,0,0,0,0,1
71,CVE-2022-1163,1,0,0,0,0,1
72,CVE-2022-0881,1,0,0,0,0,1
73,CVE-2022-0880,1,0,0,0,0,1
74,CVE-2022-0877,1,0,0,0,0,1
75,CVE-2022-0871,1,0,0,0,0,1
76,CVE-2022-0870,1,0,0,0,0,1
77,CVE-2022-0868,1,0,0,0,0,1
78,CVE-2022-0860,1,0,0,0,0,1
79,CVE-2022-0849,1,0,0,0,0,1
80,CVE-2022-0845,1,0,0,0,0,1
81,CVE-2022-0839,1,0,0,0,0,1
82,CVE-2022-24723,1,0,1,1,0,1
83,CVE-2022-0838,1,0,0,0,0,1
84,CVE-2022-0832,1,0,0,0,0,1
85,CVE-2022-0831,1,0,0,0,0,1
86,CVE-2022-0841,1,0,0,0,0,1
87,CVE-2022-0822,1,0,0,0,0,1
88,CVE-2022-0821,1,0,0,0,0,1
89,CVE-2022-0820,1,0,0,0,0,1
90,CVE-2022-0848,1,0,0,0,0,1
91,CVE-2022-0855,1,0,0,0,0,1
92,CVE-2022-0819,1,0,0,0,0,1
93,CVE-2022-0777,1,0,0,0,0,1
94,CVE-2022-0776,1,0,0,0,0,1
95,CVE-2022-0772,1,0,0,0,0,1
96,CVE-2022-0768,1,0,0,0,0,1
97,CVE-2022-0767,1,0,0,0,0,1
98,CVE-2022-0766,1,0,0,0,0,1
99,CVE-2022-0764,1,0,0,0,0,1
