,CVE ID,REFER TO COMMIT,REFER TO ISSUE,REFER TO RELEASE,REFER TO ADVISORY,REFER TO HUNTR
390,CVE-2021-21236,1,0,1,1,0
391,CVE-2021-20294,0,0,0,0,0
392,CVE-2020-9492,0,0,0,0,0
393,CVE-2020-9489,0,0,0,0,0
394,CVE-2020-9488,0,0,0,0,0
395,CVE-2020-9480,0,0,0,0,0
396,CVE-2020-8908,1,1,0,0,0
397,CVE-2020-8840,0,0,0,0,0
398,CVE-2020-8788,0,1,0,0,0
399,CVE-2020-8570,0,0,0,0,0
400,CVE-2020-8554,0,1,0,0,0
401,CVE-2020-8285,0,1,0,0,0
402,CVE-2020-8231,0,0,0,0,0
403,CVE-2020-7791,1,1,0,0,0
404,CVE-2020-7753,0,0,0,0,0
405,CVE-2020-7692,0,0,0,0,0
406,CVE-2020-7676,0,0,0,0,0
407,CVE-2020-7651,0,0,0,0,0
408,CVE-2020-6506,0,0,0,0,0
409,CVE-2020-5421,0,0,0,0,0
410,CVE-2020-5398,0,0,0,0,0
411,CVE-2020-5262,0,0,0,0,0
412,CVE-2020-5238,0,0,0,0,0
413,CVE-2020-5234,0,0,0,0,0
414,CVE-2020-36230,0,0,0,0,0
415,CVE-2020-36229,0,0,0,0,0
416,CVE-2020-36228,0,0,0,0,0
417,CVE-2020-36227,0,0,0,0,0
418,CVE-2020-36226,0,0,0,0,0
419,CVE-2020-36225,0,0,0,0,0
420,CVE-2020-36224,0,0,0,0,0
421,CVE-2020-36223,0,0,0,0,0
422,CVE-2020-36222,0,0,0,0,0
423,CVE-2020-36221,0,0,0,0,0
424,CVE-2020-29652,0,0,0,0,0
425,CVE-2020-29361,0,0,0,0,0
426,CVE-2020-28928,0,0,0,0,0
427,CVE-2020-28367,0,1,0,0,0
428,CVE-2020-28366,0,1,0,0,0
429,CVE-2020-28362,0,0,0,0,0
430,CVE-2020-28196,1,0,0,0,0
431,CVE-2020-28168,0,1,0,0,0
432,CVE-2020-28052,0,0,0,0,0
433,CVE-2020-27619,1,0,0,0,0
434,CVE-2020-27223,0,0,0,0,0
435,CVE-2020-27218,0,0,0,0,0
436,CVE-2020-27216,0,0,0,0,0
437,CVE-2020-26238,0,0,0,0,0
438,CVE-2020-26233,0,0,0,0,0
439,CVE-2020-26230,0,0,0,0,0
440,CVE-2020-25710,0,0,0,0,0
441,CVE-2020-25709,0,0,0,0,0
442,CVE-2020-25649,0,0,0,0,0
443,CVE-2020-23986,0,0,0,0,0
444,CVE-2020-23922,0,0,0,0,0
445,CVE-2020-2212,0,0,0,0,0
446,CVE-2020-21674,1,1,0,0,0
447,CVE-2020-2118,0,0,0,0,0
448,CVE-2020-2117,0,0,0,0,0
449,CVE-2020-2116,0,0,0,0,0
450,CVE-2020-1971,0,0,0,0,0
451,CVE-2020-1960,0,0,0,0,0
452,CVE-2020-1958,0,0,0,0,0
453,CVE-2020-18900,0,1,0,0,0
454,CVE-2020-17523,0,0,0,0,0
455,CVE-2020-1752,0,0,0,0,0
456,CVE-2020-17519,0,0,0,0,0
457,CVE-2020-17518,0,0,0,0,0
458,CVE-2020-15272,0,0,0,0,0
459,CVE-2020-15250,0,0,0,0,0
460,CVE-2020-15167,0,0,0,1,0
461,CVE-2020-15165,0,0,0,1,0
462,CVE-2020-15153,1,0,1,1,0
463,CVE-2020-15134,0,0,0,1,0
464,CVE-2020-15133,0,0,0,0,0
465,CVE-2020-14189,0,0,0,0,0
466,CVE-2020-14188,0,0,0,0,0
467,CVE-2020-14001,1,0,0,0,0
468,CVE-2020-13957,0,0,0,0,0
469,CVE-2020-13956,0,0,0,0,0
470,CVE-2020-13954,0,0,0,0,0
471,CVE-2020-13949,0,0,0,0,0
472,CVE-2020-13948,0,0,0,0,0
473,CVE-2020-13941,0,0,0,0,0
474,CVE-2020-13936,0,0,0,0,0
475,CVE-2020-13692,1,0,0,0,0
476,CVE-2020-13379,0,0,0,0,0
477,CVE-2020-13326,0,0,0,0,0
478,CVE-2020-12691,0,0,0,0,0
479,CVE-2020-12690,0,0,0,0,0
480,CVE-2020-12689,0,0,0,0,0
481,CVE-2020-11988,0,0,0,0,0
482,CVE-2020-11986,0,0,0,0,0
483,CVE-2020-11974,0,0,0,0,0
484,CVE-2020-11710,0,0,0,0,0
485,CVE-2020-11612,0,1,0,0,0
486,CVE-2020-11023,0,0,0,1,0
487,CVE-2020-11022,1,0,0,1,0
488,CVE-2020-10519,0,0,0,0,0
489,CVE-2020-10518,0,0,0,0,0
490,CVE-2020-10517,0,0,0,0,0
491,CVE-2020-10516,0,0,0,0,0
492,CVE-2019-9948,0,0,0,0,0
493,CVE-2019-9923,0,0,0,0,0
494,CVE-2019-9843,0,1,0,0,0
495,CVE-2019-9658,0,1,0,0,0
496,CVE-2019-9518,0,0,0,0,0
497,CVE-2019-8331,0,0,1,0,0
498,CVE-2019-6797,0,0,0,0,0
499,CVE-2019-6788,0,0,0,0,0
